unsat-epsilon,sat-epsilon,original-prediction,second-best-prediction
101.1016845703125,101.11083984375,[3 0 8 4 1],[4 5 3 5 4]
107.7850341796875,107.794189453125,[1 6 3 3 3],[9 3 2 9 4]
113.19580078125,113.2049560546875,[3 4 7 9 0],[9 8 6 2 2]
108.80126953125,108.8104248046875,[7 7 1 2 9],[3 9 4 9 3]
146.246337890625,146.2554931640625,[5 5 9 8 3],[8 2 2 3 9]
112.8662109375,112.8753662109375,[5 2 2 8 3],[9 5 3 3 0]
114.3218994140625,114.3310546875,[3 3 6 5 3],[4 2 3 9 9]
129.9774169921875,129.986572265625,[9 5 2 0 6],[5 9 9 2 9]
95.2972412109375,95.306396484375,[1 1 7 3 3],[3 4 2 9 9]
173.9410400390625,173.9501953125,[3 3 5 9 6],[4 2 9 3 9]
176.4404296875,176.4495849609375,[3 5 3 9 9],[9 8 9 2 3]
91.8182373046875,91.827392578125,[1 1 1 3 7],[4 4 3 9 3]
74.45068359375,74.4598388671875,[8 8 9 7 9],[3 3 6 6 2]
112.1612548828125,112.17041015625,[5 9 4 0 9],[9 2 8 9 2]
197.6715087890625,197.6806640625,[2 1 9 3 7],[9 4 3 9 2]
59.6923828125,59.7015380859375,[2 3 3 3 3],[5 9 2 2 9]
165.85693359375,165.8660888671875,[0 3 8 9 1],[2 9 3 3 3]
79.9713134765625,79.98046875,[2 6 8 6 8],[7 9 3 0 3]
138.446044921875,138.4552001953125,[9 7 6 0 3],[5 9 9 3 4]
177.9144287109375,177.923583984375,[9 3 3 4 5],[3 0 9 8 9]
194.8974609375,194.9066162109375,[5 6 9 2 8],[9 9 2 5 3]
144.927978515625,144.9371337890625,[3 5 3 6 2],[4 9 2 9 3]
179.62646484375,179.6356201171875,[6 0 4 3 2],[9 3 3 2 0]
138.7115478515625,138.720703125,[2 2 9 9 7],[7 5 3 5 2]
109.0301513671875,109.039306640625,[8 3 0 9 1],[3 4 3 2 3]
83.5052490234375,83.514404296875,[1 4 2 6 1],[4 3 3 9 4]
139.7003173828125,139.70947265625,[2 7 3 6 3],[7 2 9 9 2]
91.3330078125,91.3421630859375,[6 0 2 9 1],[9 3 7 3 3]
61.4593505859375,61.468505859375,[6 3 6 5 3],[9 0 9 9 2]
109.7808837890625,109.7900390625,[2 6 9 8 9],[9 9 3 3 5]
95.1507568359375,95.159912109375,[2 5 0 5 1],[7 9 2 9 9]
57.330322265625,57.3394775390625,[8 8 8 5 8],[3 3 5 2 3]
88.8885498046875,88.897705078125,[0 9 2 0 7],[4 5 5 3 2]
133.30078125,133.3099365234375,[3 2 1 0 3],[9 3 4 5 0]
159.173583984375,159.1827392578125,[2 8 3 2 0],[5 3 2 3 9]
88.22021484375,88.2293701171875,[9 3 0 2 3],[5 4 4 5 9]
124.017333984375,124.0264892578125,[2 3 8 3 6],[5 4 3 2 9]
83.642578125,83.6517333984375,[6 6 7 4 0],[9 9 3 3 2]
155.01708984375,155.0262451171875,[8 2 7 9 3],[3 3 9 2 4]
86.5447998046875,86.553955078125,[5 8 5 0 5],[9 3 2 2 2]
130.426025390625,130.4351806640625,[0 9 1 3 3],[3 2 4 9 9]
91.864013671875,91.8731689453125,[5 1 4 6 2],[9 4 3 9 3]
83.2305908203125,83.23974609375,[4 9 9 9 6],[3 2 3 2 9]
137.8143310546875,137.823486328125,[7 3 9 2 8],[9 0 3 5 3]
148.2147216796875,148.223876953125,[9 8 0 2 9],[2 4 4 9 3]
94.9493408203125,94.95849609375,[5 5 3 7 1],[2 9 9 9 3]
82.3516845703125,82.36083984375,[7 8 3 9 9],[2 3 2 3 6]
86.46240234375,86.4715576171875,[0 5 9 5 1],[3 9 2 9 3]
77.947998046875,77.9571533203125,[8 4 8 4 6],[3 5 3 8 9]
140.22216796875,140.2313232421875,[8 5 3 6 7],[3 9 0 1 3]
110.5865478515625,110.595703125,[7 8 8 5 6],[3 5 3 9 1]
143.206787109375,143.2159423828125,[8 0 3 6 4],[5 3 2 0 8]
60.369873046875,60.3790283203125,[7 4 5 8 4],[9 3 9 3 3]
200.1434326171875,200.152587890625,[4 0 3 9 8],[8 5 4 2 3]
116.400146484375,116.4093017578125,[3 7 2 0 2],[9 2 5 3 5]
105.2215576171875,105.230712890625,[3 8 9 7 7],[9 3 6 6 9]
